CMDLINE C:\Users\Usuario\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\python.exe julia_set_memory_profiling.py
MEM 105.546875 1712632736.5853
MEM 105.785156 1712632736.6860
MEM 106.019531 1712632736.7863
MEM 106.324219 1712632736.8865
MEM 106.566406 1712632736.9868
MEM 106.800781 1712632737.0872
MEM 107.105469 1712632737.1878
MEM 107.343750 1712632737.2884
MEM 107.582031 1712632737.3887
MEM 107.886719 1712632737.4890
MEM 108.125000 1712632737.5892
MEM 108.363281 1712632737.6893
MEM 108.625000 1712632737.7899
MEM 108.910156 1712632737.8900
MEM 109.210938 1712632737.9906
MEM 109.453125 1712632738.0908
MEM 109.691406 1712632738.1914
MEM 109.925781 1712632738.2917
MEM 110.230469 1712632738.3921
MEM 110.460938 1712632738.4924
MEM 110.703125 1712632738.5929
MEM 111.007812 1712632738.6930
MEM 111.246094 1712632738.7933
MEM 111.484375 1712632738.8937
MEM 111.785156 1712632738.9944
MEM 112.023438 1712632739.0949
MEM 112.265625 1712632739.1953
MEM 112.570312 1712632739.2955
MEM 112.808594 1712632739.3958
MEM 113.113281 1712632739.4962
MEM 113.355469 1712632739.5967
MEM 113.605469 1712632739.6973
MEM 113.898438 1712632739.7977
MEM 114.128906 1712632739.8979
MEM 114.371094 1712632739.9982
MEM 114.609375 1712632740.0988
MEM 114.843750 1712632740.1994
MEM 115.144531 1712632740.2998
MEM 115.382812 1712632740.4004
MEM 115.621094 1712632740.5006
MEM 115.847656 1712632740.6011
MEM 116.082031 1712632740.7016
MEM 116.324219 1712632740.8019
MEM 116.562500 1712632740.9024
MEM 116.863281 1712632741.0027
MEM 117.101562 1712632741.1030
MEM 117.332031 1712632741.2036
MEM 117.574219 1712632741.3038
MEM 117.875000 1712632741.4040
MEM 118.113281 1712632741.5043
MEM 118.351562 1712632741.6049
MEM 118.589844 1712632741.7053
MEM 118.890625 1712632741.8057
MEM 119.128906 1712632741.9061
MEM 119.367188 1712632742.0063
MEM 119.605469 1712632742.1065
MEM 119.871094 1712632742.2070
MEM 120.148438 1712632742.3076
