CMDLINE C:\Users\drako\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\python.exe julia_set_memory_profiling.py
MEM 101.281250 1712985495.9176
MEM 101.367188 1712985496.0179
MEM 101.515625 1712985496.1184
MEM 101.601562 1712985496.2186
MEM 101.750000 1712985496.3190
MEM 101.878906 1712985496.4192
MEM 101.960938 1712985496.5198
MEM 102.105469 1712985496.6202
MEM 102.125000 1712985496.7205
MEM 102.269531 1712985496.8208
MEM 102.351562 1712985496.9221
MEM 102.496094 1712985497.0230
MEM 102.578125 1712985497.1239
MEM 102.652344 1712985497.2244
MEM 102.734375 1712985497.3246
MEM 102.820312 1712985497.4252
MEM 102.968750 1712985497.5260
MEM 103.046875 1712985497.6265
MEM 103.128906 1712985497.7272
MEM 103.207031 1712985497.8276
MEM 103.355469 1712985497.9279
MEM 103.382812 1712985498.0286
MEM 103.515625 1712985498.1291
MEM 103.593750 1712985498.2303
MEM 103.675781 1712985498.3313
MEM 103.824219 1712985498.4321
MEM 103.910156 1712985498.5326
MEM 103.992188 1712985498.6330
MEM 104.070312 1712985498.7335
MEM 104.148438 1712985498.8341
MEM 104.296875 1712985498.9347
MEM 104.382812 1712985499.0350
MEM 104.531250 1712985499.1352
MEM 104.617188 1712985499.2355
MEM 104.761719 1712985499.3359
MEM 104.843750 1712985499.4435
MEM 104.996094 1712985499.5445
MEM 105.078125 1712985499.6447
MEM 105.164062 1712985499.7453
MEM 105.312500 1712985499.8459
MEM 105.464844 1712985499.9469
MEM 105.546875 1712985500.0474
MEM 105.625000 1712985500.1489
MEM 105.710938 1712985500.2498
MEM 105.851562 1712985500.3504
MEM 105.917969 1712985500.4510
MEM 106.089844 1712985500.5516
MEM 106.171875 1712985500.6521
MEM 106.324219 1712985500.7524
MEM 106.410156 1712985500.8529
MEM 106.558594 1712985500.9533
MEM 106.644531 1712985501.0537
MEM 106.792969 1712985501.1541
MEM 106.945312 1712985501.2545
MEM 107.031250 1712985501.3551
MEM 107.144531 1712985501.4561
MEM 107.273438 1712985501.5564
MEM 107.421875 1712985501.6568
MEM 107.570312 1712985501.7572
MEM 107.656250 1712985501.8580
MEM 107.808594 1712985501.9582
MEM 107.894531 1712985502.0588
MEM 108.042969 1712985502.1594
MEM 108.195312 1712985502.2597
MEM 108.277344 1712985502.3601
MEM 108.378906 1712985502.4611
MEM 108.515625 1712985502.5618
MEM 108.667969 1712985502.6625
MEM 108.753906 1712985502.7631
MEM 108.902344 1712985502.8635
MEM 109.054688 1712985502.9642
MEM 109.140625 1712985503.0648
MEM 109.289062 1712985503.1652
MEM 109.378906 1712985503.2655
MEM 109.527344 1712985503.3662
MEM 109.621094 1712985503.4671
MEM 109.765625 1712985503.5678
MEM 109.914062 1712985503.6684
MEM 109.996094 1712985503.7694
MEM 110.148438 1712985503.8698
MEM 110.238281 1712985503.9702
MEM 110.386719 1712985504.0708
MEM 110.535156 1712985504.1716
MEM 110.625000 1712985504.2730
MEM 110.773438 1712985504.3735
MEM 110.859375 1712985504.4742
MEM 111.007812 1712985504.5752
MEM 111.097656 1712985504.6759
MEM 111.246094 1712985504.7763
MEM 111.398438 1712985504.8773
MEM 111.488281 1712985504.9776
MEM 111.640625 1712985505.0781
MEM 111.792969 1712985505.1786
MEM 111.941406 1712985505.2789
MEM 112.031250 1712985505.3795
MEM 112.156250 1712985505.4804
MEM 112.335938 1712985505.5807
MEM 112.421875 1712985505.6810
MEM 112.574219 1712985505.7814
MEM 112.726562 1712985505.8819
MEM 112.812500 1712985505.9824
MEM 112.964844 1712985506.0831
MEM 113.113281 1712985506.1836
MEM 113.203125 1712985506.2838
MEM 113.351562 1712985506.3841
MEM 113.429688 1712985506.4843
MEM 113.585938 1712985506.5847
MEM 113.738281 1712985506.6850
MEM 113.828125 1712985506.7857
MEM 113.976562 1712985506.8862
MEM 114.128906 1712985506.9869
MEM 114.214844 1712985507.0874
MEM 114.363281 1712985507.1879
MEM 114.453125 1712985507.2888
MEM 114.601562 1712985507.3892
MEM 114.753906 1712985507.4898
MEM 114.843750 1712985507.5904
MEM 114.992188 1712985507.6907
MEM 115.140625 1712985507.7912
MEM 115.230469 1712985507.8919
MEM 115.378906 1712985507.9925
MEM 115.464844 1712985508.0928
MEM 115.617188 1712985508.1935
MEM 115.703125 1712985508.2938
MEM 115.851562 1712985508.3942
MEM 116.003906 1712985508.4946
MEM 116.085938 1712985508.5951
MEM 116.238281 1712985508.6953
MEM 116.324219 1712985508.7956
MEM 116.472656 1712985508.8963
MEM 116.558594 1712985508.9972
MEM 116.707031 1712985509.0979
MEM 116.796875 1712985509.1986
MEM 116.945312 1712985509.2991
MEM 117.097656 1712985509.3997
MEM 117.179688 1712985509.5000
MEM 117.335938 1712985509.6005
MEM 117.484375 1712985509.7007
MEM 117.570312 1712985509.8014
MEM 117.718750 1712985509.9019
MEM 117.808594 1712985510.0026
MEM 117.957031 1712985510.1028
MEM 118.042969 1712985510.2033
MEM 118.191406 1712985510.3039
MEM 118.343750 1712985510.4042
MEM 118.410156 1712985510.5046
MEM 118.578125 1712985510.6050
MEM 118.660156 1712985510.7056
MEM 118.746094 1712985510.8063
MEM 118.898438 1712985510.9066
MEM 119.046875 1712985511.0072
MEM 119.136719 1712985511.1075
MEM 119.289062 1712985511.2081
MEM 119.437500 1712985511.3087
MEM 119.527344 1712985511.4092
MEM 119.644531 1712985511.5095
MEM 119.824219 1712985511.6102
MEM 119.914062 1712985511.7106
MEM 120.062500 1712985511.8108
MEM 120.148438 1712985511.9110
MEM 120.300781 1712985512.0113
MEM 120.386719 1712985512.1119
MEM 120.535156 1712985512.2123
MEM 120.687500 1712985512.3125
MEM 120.773438 1712985512.4132
MEM 120.878906 1712985512.5136
MEM 121.011719 1712985512.6139
MEM 121.160156 1712985512.7145
MEM 121.312500 1712985512.8150
MEM 121.398438 1712985512.9153
MEM 121.546875 1712985513.0158
MEM 121.636719 1712985513.1163
MEM 121.785156 1712985513.2166
MEM 121.933594 1712985513.3171
MEM 122.023438 1712985513.4173
MEM 122.140625 1712985513.5179
MEM 122.324219 1712985513.6185
MEM 122.414062 1712985513.7188
MEM 122.566406 1712985513.8189
MEM 122.718750 1712985513.9192
MEM 122.808594 1712985514.0198
MEM 122.957031 1712985514.1204
MEM 123.109375 1712985514.2209
MEM 123.261719 1712985514.3214
MEM 123.351562 1712985514.4217
MEM 123.500000 1712985514.5225
MEM 123.652344 1712985514.6231
MEM 123.738281 1712985514.7233
MEM 123.890625 1712985514.8238
MEM 123.976562 1712985514.9245
MEM 124.128906 1712985515.0251
MEM 124.277344 1712985515.1257
MEM 124.363281 1712985515.2262
MEM 124.511719 1712985515.3267
MEM 124.597656 1712985515.4270
MEM 124.750000 1712985515.5275
MEM 126.343750 1712985515.6279
MEM 124.984375 1712985515.7284
MEM 125.070312 1712985515.8289
MEM 125.218750 1712985515.9296
MEM 125.371094 1712985516.0302
MEM 125.457031 1712985516.1308
MEM 125.605469 1712985516.2318
MEM 125.691406 1712985516.3323
MEM 125.843750 1712985516.4328
MEM 125.925781 1712985516.5330
MEM 126.078125 1712985516.6336
MEM 126.226562 1712985516.7342
MEM 126.316406 1712985516.8347
MEM 126.464844 1712985516.9354
MEM 126.554688 1712985517.0357
MEM 126.703125 1712985517.1360
MEM 126.851562 1712985517.2363
MEM 126.937500 1712985517.3369
MEM 127.089844 1712985517.4379
MEM 127.167969 1712985517.5386
MEM 134.902344 1712985517.6392
MEM 134.902344 1712985517.7397
MEM 134.902344 1712985517.8411
MEM 134.902344 1712985517.9415
MEM 134.902344 1712985518.0419
MEM 134.902344 1712985518.1422
MEM 134.902344 1712985518.2428
